id,title,childIds,scope,0,authorId,ownerIds,customStatusId,createdDate,endDate,completedDate,startDate
IEAEINT7I7777777,Root,"['IEAEINT7I42D7BDX', 'IEAEINT7I4YNBRM2', 'IEAEINT7I4YNBRE2', 'IEAEINT7I4YYUBCA', 'IEAEINT7I4UAB54L', 'IEAEINT7I42FS4IS', 'IEAEINT7I42FS4CS', 'IEAEINT7I42D7A3N', 'IEAEINT7I4UAB46T', 'IEAEINT7I4YNBRID', 'IEAEINT7I42D7CRL', 'IEAEINT7I42D7A5L', 'IEAEINT7I4TMKX4Q', 'IEAEINT7I4XYLLAQ', 'IEAEINT7I4UHWBTN', 'IEAEINT7I4XYKXW4', 'IEAEINT7I4VCS3XQ', 'IEAEINT7I42D7BTC', 'IEAEINT7I42HTLBH', 'IEAEINT7I42D7BC6', 'IEAEINT7I42FS4F2', 'IEAEINT7I42D7AY4', 'IEAEINT7I42FS355', 'IEAEINT7I42D7A4X', 'IEAEINT7I4TXQZCR', 'IEAEINT7I4XYK4PM', 'IEAEINT7I4TMC3ZL', 'IEAEINT7I4TXQ2WT', 'IEAEINT7I5BJHW5Y', 'IEAEINT7I4XYLTZI', 'IEAEINT7I4YFEO37', 'IEAEINT7I4XYLDFV', 'IEAEINT7I42FS37K', 'IEAEINT7I4YNBQ3F', 'IEAEINT7I5AGTOW4', 'IEAEINT7I4ZZD47J', 'IEAEINT7I42FS4JB', 'IEAEINT7I4XYLRJY', 'IEAEINT7I4YNBRHN', 'IEAEINT7I4UEAG57', 'IEAEINT7I4XYLQN2']",WsRoot,,,,,,,,
IEAEINT7I7777776,Recycle Bin,"['IEAEINT7I4U5Z324', 'IEAEINT7I4YQGJMB', 'IEAEINT7I4VT6WZ4', 'IEAEINT7I42VT522', 'IEAEINT7I5CFJNWR', 'IEAEINT7I4ZDISJT', 'IEAEINT7I4VDABRY', 'IEAEINT7I4YB7XEX', 'IEAEINT7I4YQGJ4I', 'IEAEINT7I4YQGKMM', 'IEAEINT7I5CMLTSU', 'IEAEINT7I44ML52U', 'IEAEINT7I43NJDGG', 'IEAEINT7I4YYOWAU', 'IEAEINT7I4XZI7AH', 'IEAEINT7I4YEJUSX', 'IEAEINT7I4YQGEIQ', 'IEAEINT7I4UQOHYS', 'IEAEINT7I43ETIW4', 'IEAEINT7I4VQ7QEZ', 'IEAEINT7I4YCDR5X', 'IEAEINT7I5CMTGS6', 'IEAEINT7I43ETIO6', 'IEAEINT7I4W35OVH', 'IEAEINT7I4UO2Z3X', 'IEAEINT7I5CKDTF5', 'IEAEINT7I4VT6XJC', 'IEAEINT7I43NJJKK', 'IEAEINT7I44M5ZTP', 'IEAEINT7I462D7UH', 'IEAEINT7I4UEAHTH', 'IEAEINT7I472VYAA', 'IEAEINT7I4TXQ2WV', 'IEAEINT7I4VT67YQ', 'IEAEINT7I4YSU3QZ', 'IEAEINT7I4ZAGCFV', 'IEAEINT7I43FBZTH', 'IEAEINT7I4YQHNZ3', 'IEAEINT7I4ZSYUEU', 'IEAEINT7I43ETI3R', 'IEAEINT7I5C3QJIB', 'IEAEINT7I42QIKFZ', 'IEAEINT7I5AGTOGU', 'IEAEINT7I4UEAHP7', 'IEAEINT7I4YUXWUL', 'IEAEINT7I4VT6M76', 'IEAEINT7I4U5Z345', 'IEAEINT7I4VYGHWH', 'IEAEINT7I4TYHMCF', 'IEAEINT7I4UEAHMH', 'IEAEINT7I4UOEEFF', 'IEAEINT7I4UOEFFP', 'IEAEINT7I5BQ7BW4', 'IEAEINT7I4UEA7IT', 'IEAEINT7I4YPTGFK', 'IEAEINT7I4VT6XDH', 'IEAEINT7I5CMTGEQ', 'IEAEINT7I4U5Z34F', 'IEAEINT7I4YQGGO2', 'IEAEINT7I5CMU2YU', 'IEAEINT7I4VDABTO', 'IEAEINT7I4X5A5FV', 'IEAEINT7I4UKG6GG', 'IEAEINT7I472VV2P', 'IEAEINT7I472VXCM', 'IEAEINT7I4UOEGIF', 'IEAEINT7I4VT6QKX', 'IEAEINT7I472VV6C', 'IEAEINT7I4X6RKMD', 'IEAEINT7I4ZDIM2Y', 'IEAEINT7I5C3QI2V', 'IEAEINT7I45DWB2W', 'IEAEINT7I46GUSU3', 'IEAEINT7I44CXXOZ', 'IEAEINT7I5C3QI6L', 'IEAEINT7I4UOEEYU', 'IEAEINT7I4ZDISOC', 'IEAEINT7I5CMTLRR', 'IEAEINT7I4UOEF42', 'IEAEINT7I4VQ7PTV', 'IEAEINT7I43DYTGG', 'IEAEINT7I4YGE2M7']",RbRoot,,,,,,,,
IEAEINT7I5D4YBSM,Q413 - Solar Panel Deframer,[],WsFolder,,KUAJV4AW,[],IEAEINT7JMCLXA5I,2023-09-18T19:30:49Z,,,
IEAEINT7I5DOI7A7,J408 - Stage Platform Transmission Certification,[],WsFolder,,KUAJVUPW,"['KUAJV4AW', 'KUAJVUPW']",IEAEINT7JMCLXBAM,2023-08-25T00:01:41Z,,,
IEAEINT7I5DDV73C,Q406 - Dome Structural Certification,[],WsFolder,,KUAJV4AW,['KUAJV4AW'],IEAEINT7JMCLXA7O,2023-08-12T02:22:55Z,,,
IEAEINT7I5D2DTZ2,Q412 - Chain Tester Certification,[],WsFolder,,KUAJVUPW,"['KUAJV4AW', 'KUAJVUPW']",IEAEINT7JMCLXA7O,2023-09-13T15:32:09Z,,,
IEAEINT7I5D2DGRX,Q411 - Crane Handle Certification,[],WsFolder,,KUAJVUPW,['KUAJVUPW'],IEAEINT7JMCLXA7O,2023-09-13T15:21:22Z,,,
IEAEINT7I5CHQIYZ,J394 - Racking Engineering,['IEAEINT7I5CPZWIY'],WsFolder,,KUAJVUPW,"['KUAJVUPW', 'KUAJV4AW']",IEAEINT7JMCLXA5J,2023-06-26T16:55:08Z,2023-07-18,2023-09-15T14:39:10Z,
IEAEINT7I4ZDZOXH,Completed projects,"['IEAEINT7I45CAYRA', 'IEAEINT7I4ZZP74X', 'IEAEINT7I44M5XGO', 'IEAEINT7I46ZVBUY', 'IEAEINT7I47VXBS7', 'IEAEINT7I46KKDVA', 'IEAEINT7I4XFJ3S4', 'IEAEINT7I4773JXV', 'IEAEINT7I4WNTOGQ', 'IEAEINT7I4YFFXK6', 'IEAEINT7I42FV42L', 'IEAEINT7I44MGXWQ', 'IEAEINT7I47G4GD5', 'IEAEINT7I426SB72', 'IEAEINT7I4ZLXA5O', 'IEAEINT7I4UPZ3PJ', 'IEAEINT7I4ZLXIVO', 'IEAEINT7I44W2VTY', 'IEAEINT7I434GKOU', 'IEAEINT7I4ZNMNWK', 'IEAEINT7I4WLBI5M', 'IEAEINT7I4WEEBC5', 'IEAEINT7I4VTPMBI', 'IEAEINT7I4UAYLBM', 'IEAEINT7I4XY6PVO', 'IEAEINT7I43V7JL5', 'IEAEINT7I4YV4ID4', 'IEAEINT7I4XY6PNL', 'IEAEINT7I4YTDUYU', 'IEAEINT7I46IL35D', 'IEAEINT7I5AU7BTG', 'IEAEINT7I5CUYUDG', 'IEAEINT7I4Y5VPXW', 'IEAEINT7I44EP23L', 'IEAEINT7I5AO2YGA', 'IEAEINT7I5BQWJBG', 'IEAEINT7I44A43BB', 'IEAEINT7I5CD52AG', 'IEAEINT7I4VQ7ORW', 'IEAEINT7I42TTKIH', 'IEAEINT7I4UWFYJA', 'IEAEINT7I46MMDMM', 'IEAEINT7I43SL63L', 'IEAEINT7I4YTEBT5', 'IEAEINT7I4YFULIK', 'IEAEINT7I4Z7Z5VO', 'IEAEINT7I44ML5MX', 'IEAEINT7I5BAODCR', 'IEAEINT7I46ENHQQ', 'IEAEINT7I4VYJ5WT', 'IEAEINT7I47WN5ZR', 'IEAEINT7I45CLUT5', 'IEAEINT7I4ZENWQ6', 'IEAEINT7I43RY22E', 'IEAEINT7I4WPV7VD', 'IEAEINT7I43J656G', 'IEAEINT7I4UOOSN4', 'IEAEINT7I4YTDT3P', 'IEAEINT7I4YB7YKA', 'IEAEINT7I42QAV3A', 'IEAEINT7I4VOIQ4E', 'IEAEINT7I5CHQIYZ', 'IEAEINT7I42KL3OH', 'IEAEINT7I5AO2QUP', 'IEAEINT7I4YUAMRE', 'IEAEINT7I46A2MDI', 'IEAEINT7I45CAY2K', 'IEAEINT7I47U5KBB', 'IEAEINT7I4VDAS2A', 'IEAEINT7I47WDXYR', 'IEAEINT7I5AO2XEY', 'IEAEINT7I4YFFUJL', 'IEAEINT7I4ZLXIGC', 'IEAEINT7I4YTEBKP', 'IEAEINT7I46G3VQQ', 'IEAEINT7I4XWJLY3', 'IEAEINT7I45M335S', 'IEAEINT7I4YTDVFQ', 'IEAEINT7I47XHMXR', 'IEAEINT7I5BDRUN4', 'IEAEINT7I5AO2ZLJ', 'IEAEINT7I4UC6O5J', 'IEAEINT7I44MNSCP', 'IEAEINT7I4XFJ5G7', 'IEAEINT7I4VCXA5F', 'IEAEINT7I4XW2MHC', 'IEAEINT7I4YFFUG5', 'IEAEINT7I4ZLXIBU', 'IEAEINT7I4ZLXGZK', 'IEAEINT7I47G4D74', 'IEAEINT7I42VT6GL', 'IEAEINT7I43ENXGS', 'IEAEINT7I4U5RIKM', 'IEAEINT7I42NBPKG', 'IEAEINT7I47ZYSIL', 'IEAEINT7I4WNTJSA', 'IEAEINT7I44U6BGW', 'IEAEINT7I5CUY7OX', 'IEAEINT7I42MJRK7', 'IEAEINT7I5BQ2LER', 'IEAEINT7I45DVXVH', 'IEAEINT7I4VJWMYF', 'IEAEINT7I46ENG6Y', 'IEAEINT7I5AU7BOQ', 'IEAEINT7I43RYU52', 'IEAEINT7I43RYTVU', 'IEAEINT7I43XMCO7', 'IEAEINT7I4ZLXFIQ', 'IEAEINT7I4YBLEVZ', 'IEAEINT7I4ZNMJD2', 'IEAEINT7I475XJTW', 'IEAEINT7I425AE35', 'IEAEINT7I4YTEAE4', 'IEAEINT7I4YTDVMB', 'IEAEINT7I42QIHVQ', 'IEAEINT7I4XMW636', 'IEAEINT7I4YTDVUH', 'IEAEINT7I4YCA4EY', 'IEAEINT7I4YTEAUJ', 'IEAEINT7I45LDBYN', 'IEAEINT7I5BQWMNV', 'IEAEINT7I4U5Z3TD', 'IEAEINT7I4YTD7XQ', 'IEAEINT7I4YTEA7W', 'IEAEINT7I4YEJU4B', 'IEAEINT7I4YTEBXU', 'IEAEINT7I44JLK2S', 'IEAEINT7I425UBA5', 'IEAEINT7I4ZLXILT', 'IEAEINT7I4UAYJWF', 'IEAEINT7I46LVDTQ', 'IEAEINT7I4XJI2K7', 'IEAEINT7I4YFFUEZ', 'IEAEINT7I46ENC4K', 'IEAEINT7I43RYVGR', 'IEAEINT7I4YTDVX4', 'IEAEINT7I4Z62CJA', 'IEAEINT7I46MLXIL', 'IEAEINT7I4Z7NZZZ', 'IEAEINT7I44DMCHZ', 'IEAEINT7I4YRKNWH', 'IEAEINT7I456TJB2', 'IEAEINT7I43FJ5UB', 'IEAEINT7I4YUUWUT', 'IEAEINT7I4ZLXHTF', 'IEAEINT7I4VDAA6R', 'IEAEINT7I4626ZKL', 'IEAEINT7I435KIJQ', 'IEAEINT7I45KXBSO', 'IEAEINT7I4Z2JT2M', 'IEAEINT7I4ZLXFSR', 'IEAEINT7I4YV26FQ', 'IEAEINT7I42PJVI2', 'IEAEINT7I43NJIJG', 'IEAEINT7I462KA2R', 'IEAEINT7I47G4KMZ', 'IEAEINT7I43RY7HL', 'IEAEINT7I5AWJQE4', 'IEAEINT7I4ZZQDDA', 'IEAEINT7I4YEJUV4', 'IEAEINT7I4YFFD5I', 'IEAEINT7I46KKIS7', 'IEAEINT7I42K3WSW', 'IEAEINT7I434GLB6', 'IEAEINT7I43ES5NU']",WsFolder,,,,,,,,
IEAEINT7I4ZAF4YH,J274 - RIV Manufacturing,['IEAEINT7I4ZAGA6D'],WsFolder,,KUAJVUPW,['KUAJV4AW'],IEAEINT7JMCLXBAM,2022-02-03T22:43:58Z,2023-07-28,,2022-02-04
IEAEINT7I46IL35D,J352 - Engineering Analysis and Certification of Booster Stations,['IEAEINT7I46IL35G'],WsFolder,,KUAQKCJM,"['KUAJVURM', 'KUAJV4AW', 'KUADNVMK']",IEAEINT7JMCLXA5J,2022-12-02T01:15:05Z,2023-06-03,2023-09-13T19:31:19Z,2023-01-30
IEAEINT7I42QDDYD,J288 - Module 3 Vibration Mitigation,['IEAEINT7I42QDEHU'],WsFolder,,KUAJVUPW,['KUAJVURM'],IEAEINT7JMCQA4ZS,2022-04-29T16:34:13Z,2023-08-04,,
IEAEINT7I5C6P6EW,J405 - Cabinets Strengthening,['IEAEINT7I5C6P62W'],WsFolder,,KUAJVUPW,"['KUAJV4AW', 'KUAJVUPW']",IEAEINT7JMCLXBBM,2023-08-02T16:50:13Z,,2023-09-04T14:27:19Z,
IEAEINT7I5CUY7OX,Q402 - Fire Risk Assessments,[],WsFolder,,KUAJVUPW,"['KUAJV4AW', 'KUAJVUPW', 'KUADNVMK']",IEAEINT7JMCLXBBD,2023-07-19T20:27:11Z,,2023-09-12T22:58:19Z,
IEAEINT7I4ZNMNWK,J287 - Nelson Point Structural Health Monitoring Trial,['IEAEINT7I4ZNMOIW'],WsFolder,,KUAJVUPW,['KUADNVMK'],IEAEINT7JMD76XV3,2022-02-28T20:04:00Z,2023-03-30,2023-09-12T22:57:41Z,2022-09-14
IEAEINT7I5CV3JOE,J403 - Busselton Cable Nets,['IEAEINT7I5CYSI5O'],WsFolder,,KUAJV4AW,['KUAJV4AW'],IEAEINT7JMCQA4ZS,2023-07-21T10:53:06Z,,,
IEAEINT7I5DZST6P,5. R&D,[],WsFolder,,,,,,,,
IEAEINT7I5DODA25,Q407 - Centamin Structural Integrity Audit,[],WsFolder,,KUAJVUPW,"['KUAJVUPW', 'KUADNVMK']",IEAEINT7JMCLXA7O,2023-08-24T18:19:17Z,,,
IEAEINT7I4UAB54L,3. Engineering Function,"['IEAEINT7I5D4YBSM', 'IEAEINT7I42QDDYD', 'IEAEINT7I5B35654', 'IEAEINT7I5CL7WF3', 'IEAEINT7I4ZAF4YH', 'IEAEINT7I5BBF4OX', 'IEAEINT7I46CR2LF', 'IEAEINT7I5C2GX3S', 'IEAEINT7I5CSKK5U', 'IEAEINT7I5D2DGRX', 'IEAEINT7I5DZST6P', 'IEAEINT7I4UQG7UV', 'IEAEINT7I5DDV73C', 'IEAEINT7I5CV3JOE', 'IEAEINT7I5D2DTZ2', 'IEAEINT7I4ZDZOXH', 'IEAEINT7I5CBVCUH', 'IEAEINT7I5CLLAQU', 'IEAEINT7I472VXCI', 'IEAEINT7I5CFJNFR', 'IEAEINT7I4XVP2N2', 'IEAEINT7I5A7SQOX', 'IEAEINT7I5C6P6EW', 'IEAEINT7I5CSKKOU', 'IEAEINT7I5CFJMTG', 'IEAEINT7I46ADXPW', 'IEAEINT7I43RY7NE', 'IEAEINT7I5BEI4P4', 'IEAEINT7I5CTXGUD', 'IEAEINT7I5CLLAUM', 'IEAEINT7I5DOI7A7', 'IEAEINT7I5DODA25', 'IEAEINT7I472WF6W']",WsFolder,,,,,,,,
IEAEINT7I42QDEHU,J288 - (ADM) Module 3 Vibration Mitigation,[],WsFolder,,,,,,,,
IEAEINT7I5C6P62W,Q405 - (ADM) Cabinets strengthening,[],WsFolder,,,,,,,,
IEAEINT7I4UQG7UV,J083 - SHM Hailcreek Mine,['IEAEINT7I46NFLNT'],WsFolder,,KUALR2UV,['KUAQR2U7'],IEAEINT7JMCLXBBM,2021-05-10T19:35:07Z,2023-02-28,2023-02-22T22:07:46Z,2022-11-14
IEAEINT7I46CR2LF,J347 - Spark Tender - Ventilation Ducting Support Brackets,['IEAEINT7I46CR2LJ'],WsFolder,,KUAQKCJM,['KUAQBNUM'],IEAEINT7JMCLXBBM,2022-11-21T00:09:55Z,,2023-09-04T14:24:06Z,
IEAEINT7I46ADXPW,J345 - Spark Tender - Temporary Utility Brackets,['IEAEINT7I46ADX4W'],WsFolder,,KUAJVUPW,['KUAQBNUM'],IEAEINT7JMCLXBBM,2022-11-15T18:40:30Z,,2023-09-04T14:23:57Z,
IEAEINT7I5AWJQE4,J379 - GCM Equipment Relocation,['IEAEINT7I5AWJQHY'],WsFolder,,KUAJVUPW,['KUAJV4AW'],IEAEINT7JMCLXA5J,2023-04-17T18:29:18Z,2023-06-22,2023-08-29T15:34:36Z,
IEAEINT7I46KKDVA,J353 - YLY Structural Integrity Audit.,['IEAEINT7I46KKDVB'],WsFolder,,KUAQKCJM,"['KUAJVUPW', 'KUAJ4LPJ']",IEAEINT7JMCLXA5J,2022-12-06T03:31:51Z,,2023-08-29T15:34:10Z,2023-03-06
IEAEINT7I5CUYUDG,J401 - (Updating J194) - FEA - Hitachi ZX135 Front End,['IEAEINT7I5CYSJQ5'],WsFolder,,KUAJVUPW,['KUAJV4AW'],IEAEINT7JMCLXA5J,2023-07-19T20:10:06Z,,2023-08-29T15:32:27Z,
IEAEINT7I5CD52AG,J390 - Training Weapon Trolly,['IEAEINT7I5CO73X4'],WsFolder,,KUAJV4AW,['KUAJV4AW'],IEAEINT7JMCLXA5J,2023-06-19T19:58:08Z,,2023-08-04T15:15:17Z,
IEAEINT7I5DJETD6,Standards,[],WsFolder,,KUAJVUPW,[],IEAEINT7JMB3DINO,2023-08-15T19:15:45Z,,,
IEAEINT7I5CKDTF5,MOS ENG Project Team Action List,[],RbFolder,,KUAPSRAK,[],IEAEINT7JMB3DINO,2023-06-30T04:19:43Z,,,
IEAEINT7I5C2GX3S,Q404 -  Pulleys Certification,['IEAEINT7I5C4ZMKM'],WsFolder,,KUAJVUPW,['KUAJVUPW'],IEAEINT7JMCLXA7Y,2023-07-27T13:36:08Z,,,
IEAEINT7I5DCLBEZ,4.1. MOS Implementation - Engineering Fuction,[],WsFolder,,,,,,,,
IEAEINT7I5A7SQOX,4. Engineering Continuous Improvement,"['IEAEINT7I5BKRIT3', 'IEAEINT7I5DJETD6', 'IEAEINT7I5DCLBEZ']",WsFolder,,,,,,,,
IEAEINT7I5BDRUN4,Q382 - Skid and Drawbar Certification,['IEAEINT7I5BKPH4B'],WsFolder,,KUAJV4AW,['KUAJVUPW'],IEAEINT7JMCLXBBD,2023-05-09T15:52:43Z,,2023-07-25T16:39:36Z,
IEAEINT7I5BAODCR,Q380 - RHS Midrack Capacity,['IEAEINT7I5BAOERT'],WsFolder,,KUAJVUPW,"['KUAJVUPW', 'KUAJV4AW']",IEAEINT7JMCLXA5J,2023-05-03T16:20:02Z,2023-05-04,2023-08-07T19:38:26Z,
IEAEINT7I5AO2YGA,Q375 - Structural Certification of Tanks,['IEAEINT7I5AO2YXY'],WsFolder,,KUAJVUPW,['KUAJVUPW'],IEAEINT7JMCLXBBD,2023-04-03T17:50:17Z,2023-03-31,2023-07-25T16:46:23Z,
IEAEINT7I47ZYSIL,Q370 - Trinity pulley beam certification,['IEAEINT7I47ZYSIM'],WsFolder,,KUAQKCJM,"['KUAJV4AW', 'KUAJ4LPJ']",IEAEINT7JMCLXBBD,2023-02-28T22:50:34Z,2023-03-02,2023-07-25T16:46:39Z,
IEAEINT7I472WF6W,Q369 - Strategic Dust Program (EOI-01454),['IEAEINT7I5BKPH7Q'],WsFolder,,KUAQKCJM,['KUADNVMK'],IEAEINT7JMCLXA7O,2023-03-02T00:47:30Z,2023-03-10,,2023-03-01
IEAEINT7I472VXCI,Q368 - Engineering and Consultancy Dust Program (EOI-01453),['IEAEINT7I5BKPIBZ'],WsFolder,,KUAQKCJM,['KUADNVMK'],IEAEINT7JMCLXA7O,2023-03-01T23:57:32Z,2023-03-14,,2023-03-01
IEAEINT7I43RY7NE,Q322 - SHMS for coal handling tunnel,['IEAEINT7I43RY7OH'],WsFolder,,KUAJVUPW,"['KUAJVURM', 'KUADNVMK']",IEAEINT7JMCLXA5I,2022-07-01T23:43:20Z,2022-07-01,,
IEAEINT7I4XVP2N2,J253 - Foreign Contaminants Detection on Conveyor Belts,['IEAEINT7I4Y4ULS4'],WsFolder,,KUAJVUPW,['KUADNVMK'],IEAEINT7JMCLXBAW,2021-11-16T21:08:35Z,2023-10-26,,2021-11-10
IEAEINT7I42NBPKG,J303 - Structural integrity defects proactive mitigation study,['IEAEINT7I42NBPQX'],WsFolder,,KUAJVUPW,"['KUAJVUPW', 'KUAPSRAK']",IEAEINT7JMCLXA5J,2022-04-25T14:41:59Z,2023-08-11,2023-08-03T21:30:58Z,2022-05-31
IEAEINT7I5BQ2LER,J386 - Verify Plant Design,['IEAEINT7I5BQ2LQ4'],WsFolder,,KUAJVUPW,"['KUAJVUPW', 'KUAJV4AW']",IEAEINT7JMCLXA5J,2023-05-22T18:46:47Z,2023-07-31,2023-08-02T16:52:13Z,
IEAEINT7I5CBVCUH,Q387 - Design of Temporary Utility Brackets,['IEAEINT7I5CBVCZW'],WsFolder,,KUAJVUPW,"['KUADNVMK', 'KUAJVUPW']",IEAEINT7JMCLXA7O,2023-06-14T20:03:39Z,,,
IEAEINT7I5CFJMTG,Q392 - Boat Lift Certification,['IEAEINT7I5CYS7XI'],WsFolder,,KUAJVUPW,['KUAJV4AW'],IEAEINT7JMCLXA7O,2023-06-21T16:33:41Z,,,
IEAEINT7I5CFJNFR,Q391 - Shed Structural Certification,['IEAEINT7I5CYTBHL'],WsFolder,,KUAJVUPW,['KUAJV4AW'],IEAEINT7JMCLXA7O,2023-06-21T16:34:15Z,,,
IEAEINT7I5BEI4P4,Q383 - Hitachi EX3600-6 Excavator,['IEAEINT7I5BEI4UD'],WsFolder,,KUAJVUPW,"['KUAJVUPW', 'KUAQR2T6']",IEAEINT7JMCLXA7O,2023-05-10T15:46:49Z,,,
IEAEINT7I5CSKK5U,Q399 - Ton Trailer Certification,['IEAEINT7I5CYSTTV'],WsFolder,,KUAJVUPW,"['KUAJV4AW', 'KUAJVUPW']",IEAEINT7JMCLXA7O,2023-07-14T19:37:36Z,,,
IEAEINT7I5CSKKOU,Q398 - Balustrade Certification,['IEAEINT7I5CYS6W7'],WsFolder,,KUAJVUPW,['KUAJVUPW'],IEAEINT7JMCLXA7O,2023-07-14T19:36:41Z,,,
IEAEINT7I5CL7WF3,Q395 - CAT793D RAC Correlation Study & Front Suspension Pins Fracture Analysis,[],WsFolder,,KUAJVUPW,['KUAJVUPW'],IEAEINT7JMCLXA7O,2023-07-04T23:28:23Z,2023-07-11,,
IEAEINT7I5CTXGUD,Q400 - Cooling Skid Certification,['IEAEINT7I5CYSLR5'],WsFolder,,KUAJVUPW,"['KUAJV4AW', 'KUAJVUPW']",IEAEINT7JMCLXA7O,2023-07-18T16:11:49Z,,,
IEAEINT7I5C4ZMKM,Q404 - (ADM)  Pulleys Certification,[],WsFolder,,,,,,,,
IEAEINT7I5C3QJIB,My New Project,[],RbFolder,,,,,,,,
IEAEINT7I5C3QI6L,My New Project,[],RbFolder,,,,,,,,
IEAEINT7I5C3QI2V,My New Project,[],RbFolder,,,,,,,,
IEAEINT7I5CYSI5O,J403 - (ADM) Busselton Cable Nets,[],WsFolder,,,,,,,,
IEAEINT7I5CLLAQU,Q396 - Snowflake Data Visualisation,[],WsFolder,,KUAJVUPW,['KUAJVUPW'],IEAEINT7JMCLXA7E,2023-07-03T17:01:10Z,,,
IEAEINT7I5CCENRH,G009 - Capability Update,[],WsFolder,,KUAOEGVX,['KUAOEGVX'],IEAEINT7JMAAAAAB,2023-06-15T14:23:23Z,,2023-07-26T09:48:26Z,
IEAEINT7I4ZLXA5O,J277 - Rail Cleaning Device,['IEAEINT7I4ZLZKSO'],WsFolder,,KUAJVUPW,"['KUADNVMK', 'KUAJV4AW', 'KUAJ57N7']",IEAEINT7JMCLXA5J,2022-02-24T18:50:07Z,2022-11-30,2023-07-18T23:50:17Z,2022-07-04
IEAEINT7I5B35654,Q389 - Load and Unload Shuttles and Frames FEA,['IEAEINT7I5CYTDPW'],WsFolder,,KUAJVUPW,['KUAJV4AW'],IEAEINT7JMCLXA7O,2023-06-06T18:52:19Z,,,
IEAEINT7I5CYTDPW,Q389 - (ADM) Load and Unload Shuttles and Frames FEA,[],WsFolder,,,,,,,,
IEAEINT7I5CYTBHL,Q391 - (ADM) Shed Structural Certification,[],WsFolder,,,,,,,,
IEAEINT7I5CYS7XI,Q392 - (ADM) Boat Lift Certification,[],WsFolder,,,,,,,,
IEAEINT7I5CYS6W7,Q398 - (ADM) Balustrade Certification,[],WsFolder,,,,,,,,
IEAEINT7I5CYSTTV,Q399 - (ADM) Ton Trailer Certification,[],WsFolder,,,,,,,,
IEAEINT7I5CYSLR5,Q400 - (ADM) Cooling Skid Certification,[],WsFolder,,,,,,,,
IEAEINT7I5CYSJQ5,J401 - (ADM) (Updating J194) - FEA - Hitachi ZX135 Front End,[],WsFolder,,,,,,,,
IEAEINT7I5CLLAUM,Q397 - Mobile Solution Dust Particulate Detection,[],WsFolder,,KUAJVUPW,['KUAJVUPW'],IEAEINT7JMCLXA7E,2023-07-03T17:01:37Z,,,
IEAEINT7I4Z7NZZZ,J298 - Fatigue Analysis of CAT 793D,['IEAEINT7I4Z7N2B7'],WsFolder,,KUAJVUPW,['KUADNVMK'],IEAEINT7JMCLXA5J,2022-03-31T14:23:53Z,2023-07-15,2023-07-25T03:03:05Z,2023-01-24
IEAEINT7I5CMLTSU,Q398 - CAT793D Front Suspension Lugs-Spikes Fracture Analysis,[],RbFolder,,KUAJVUPW,"['KUAJV4AW', 'KUAJVUPW']",IEAEINT7JMCLXA5I,2023-07-05T14:58:56Z,,,
IEAEINT7I43V7JL5,J324 - BHP CD4 Trunnion Room Drainage,['IEAEINT7I43WSZB2'],WsFolder,,KUAQKCJM,['KUAJVURM'],IEAEINT7JMCLXA5J,2022-07-12T01:04:57Z,2022-11-18,2023-01-10T22:42:39Z,2022-08-03
IEAEINT7I5AU7BTG,J378 - PA People frensham school mittagong,['IEAEINT7I5AU7BVO'],WsFolder,,KUAJVUPW,['KUADNVMK'],IEAEINT7JMCLXBBD,2023-04-14T05:04:23Z,,2023-04-26T16:09:17Z,
IEAEINT7I43RYU52,Q318 - Creation of blueprint for coal handling and processing infrastructure,['IEAEINT7I43RY7KY'],WsFolder,,KUAJVUPW,['KUADNVMK'],IEAEINT7JMCLXBBD,2022-07-01T22:26:22Z,2022-12-15,2023-06-13T19:11:20Z,
IEAEINT7I43RYVGR,Q319 - SHMS for the coal handling and processing infrastructure,['IEAEINT7I43RY7KN'],WsFolder,,KUAJVUPW,['KUAJVUPW'],IEAEINT7JMCLXBBD,2022-07-01T22:27:08Z,2022-12-15,2023-06-13T19:11:28Z,
IEAEINT7I5BKRIT3,Action List,[],WsFolder,,KUAJVUPW,[],IEAEINT7JMB3DINO,2023-05-17T20:34:55Z,,,
